07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
08/04/2026 - 09:23:08 (-3 TMZ) | 06:13:48:08 (Artemis Clock) | Integrity preliminary look is a good burn. Still assessing. Forty seconds to LOS.
08/04/2026 - 09:23:18 (-3 TMZ) | 06:13:48:18 (Artemis Clock) | Okay, Stan, we saw a good burn on board as well.
08/04/2026 - 09:23:21 (-3 TMZ) | 06:13:48:21 (Artemis Clock) | Roger.
08/04/2026 - 09:23:44 (-3 TMZ) | 06:13:48:44 (Artemis Clock) | From the spacecraft, looking down at the European Service Module and the solar arrays.
08/04/2026 - 09:24:25 (-3 TMZ) | 06:13:49:25 (Artemis Clock) | And Reid, we just went around the room, we are all good, you can begin exercise now if you'd like.
08/04/2026 - 09:24:44 (-3 TMZ) | 06:13:49:44 (Artemis Clock) | When folks are exercising, it's pretty cool to just sit there and float and feel the vehicle kind of, it's almost, it's not like a ship rocking in the ocean, but you definitely feel it wiggling around.
08/04/2026 - 09:25:03 (-3 TMZ) | 06:13:50:03 (Artemis Clock) | as well as our data, but good to hear your report on it as well.
08/04/2026 - 09:25:20 (-3 TMZ) | 06:13:50:20 (Artemis Clock) | Hey, one last question. This is for a little later tonight, but we kind of want to do a couple of deep sky long exposure photographs. If the Saws are in the windows, and it's possible to get the lights turned off on the saw cameras in about an hour, we might appreciate that, but clearly not if it interrupts any sort of ops down there.
08/04/2026 - 09:25:41 (-3 TMZ) | 06:13:50:41 (Artemis Clock) | Great, we think that will be doable. We will double-check and we'll let you know when you're done exercising.
08/04/2026 - 09:25:46 (-3 TMZ) | 06:13:50:46 (Artemis Clock) | Okay, great. Thank you.
08/04/2026 - 09:30:51 (-3 TMZ) | 06:13:55:51 (Artemis Clock) | This is Mission Control Houston coming to you live from the Artemis flight control room here at the Johnson Space Center at a mission elapsed time of 6 days, 13 hours, 55 minutes, and counting. We are coming to you live with our 24/7 continuous coverage of the Artemis II mission.
08/04/2026 - 09:31:11 (-3 TMZ) | 06:13:56:11 (Artemis Clock) | from Earth and seventy-seven thousand six hundred and thirty miles away from the Moon.
08/04/2026 - 09:31:16 (-3 TMZ) | 06:13:56:16 (Artemis Clock) | After another incredibly busy day, the Artemis II crew are currently asleep aboard the Orion spacecraft named "Integrity."
08/04/2026 - 09:31:56 (-3 TMZ) | 06:13:56:56 (Artemis Clock) | flight verticals.
08/04/2026 - 09:32:03 (-3 TMZ) | 06:13:57:03 (Artemis Clock) | The crew also had an opportunity for a detailed debrief following our lunar flyby with the science team, and the crew also continued gathering imagery during scheduled science observation periods.
08/04/2026 - 09:32:08 (-3 TMZ) | 06:13:57:08 (Artemis Clock) | In addition to all of the science and the ship-to-ship call,
08/04/2026 - 09:32:33 (-3 TMZ) | 06:13:57:33 (Artemis Clock) | At 7:03 p.m. Central Daylight Time yesterday, April 7th, the Orion spacecraft ignited its thrusters for 15 seconds, producing a change in velocity of 1.6 feet per second and guiding the Artemis II crew toward Earth.
08/04/2026 - 09:32:38 (-3 TMZ) | 06:13:57:38 (Artemis Clock) | Christina and Jeremy reviewed procedures and monitored the spacecraft's configuration and navigation data.
08/04/2026 - 09:32:59 (-3 TMZ) | 06:13:57:59 (Artemis Clock) | ahead of them to prepare for entry and splashdown. Speaking of splashdown, we have a countdown clock here in Mission Control. It is counting down from two days, 11 hours, 34 minutes.
08/04/2026 - 09:33:24 (-3 TMZ) | 06:13:58:24 (Artemis Clock) | Now looking ahead to flight day 8, at 1 p.m. Central, shortly after we begin flight day 8, the astronauts will conduct the Orion Crew Survival Suits Detailed Flight Test objective that will allow us to provide adjustment information to the crew for suit-up on entry day.
08/04/2026 - 09:33:35 (-3 TMZ) | 06:13:58:35 (Artemis Clock) | We'll also do a second detailed flight test objective for manual piloting.
08/04/2026 - 09:33:55 (-3 TMZ) | 06:13:58:55 (Artemis Clock) | We will continue to provide updates on recovery operations and weather during the daily mission status briefings. Once again, splashdown is currently counting down at two days, 11 hours, 33 minutes.
08/04/2026 - 09:34:15 (-3 TMZ) | 06:13:59:15 (Artemis Clock) | For now, this is Mission Control Houston.
08/04/2026 - 09:59:41 (-3 TMZ) | 06:14:24:41 (Artemis Clock) | At a mission elapsed time of 6 days, 14 hours, 23 minutes and counting, you are seeing live views from the Orion spacecraft named Integrity. The crescent shape that you see out in the distance is planet Earth, part of it in daylight, part of it in nighttime.
08/04/2026 - 10:00:01 (-3 TMZ) | 06:14:25:01 (Artemis Clock) | This is Mission Control.
08/04/2026 - 10:00:27 (-3 TMZ) | 06:14:25:27 (Artemis Clock) | Houston, we are at a mission elapsed time of 5 days, 14 hours, 2 minutes, and counting. The Artemis II crew is currently in their sleep period. Now, we would like to share with the world that while the crew is asleep, we did receive some of those stunning downlinked images from the lunar flyby which took place earlier in the crew's day.
08/04/2026 - 10:00:58 (-3 TMZ) | 06:14:25:58 (Artemis Clock) | From their vantage point, the moon appears large enough to completely block the sun, creating nearly 54 minutes of totality — far longer than will be experienced from Earth. The sun's corona is forming a glowing halo around the dark lunar disk, revealing
08/04/2026 - 10:01:23 (-3 TMZ) | 06:14:26:23 (Artemis Clock) | Glow on the moon's surface. That's sunlight reflected from the Earth, softly illuminating the nearside. It's a striking view and a rare opportunity to observe and document the corona as we return to deep space.
08/04/2026 - 10:01:49 (-3 TMZ) | 06:14:26:49 (Artemis Clock) | aboard their Integrity spacecraft, marking the start of flight day seven activities.
08/04/2026 - 10:02:15 (-3 TMZ) | 06:14:27:15 (Artemis Clock) | flight director. The capcom or capsule communicator for today is Stan Love. He's a NASA astronaut and is the only voice you'll hear communicating with the crew. Of course there is an exception for that today during which the science team will be conducting their post-lunar flyby conference. If you tuned in yesterday, you got a treat.
08/04/2026 - 10:02:47 (-3 TMZ) | 06:14:27:47 (Artemis Clock) | This morning the science team is going to talk about the observations that the crew made while those are all still fresh. We've also got some other exciting activities coming up today, including a ship-to-ship call. The Orion spacecraft and the four Artemis II astronauts, Reid Wiseman, Victor Glover, Christina Koch, and Jeremy Hansen, will be calling.
08/04/2026 - 10:03:13 (-3 TMZ) | 06:14:28:13 (Artemis Clock) | Thank you.
08/04/2026 - 10:03:39 (-3 TMZ) | 06:14:28:39 (Artemis Clock) | around the moon over 50 years since its originally intended flight. The other American flag aboard Orion is from a little more recent history. It was flown on STS-1, the first space shuttle flight, STS-135, the last space shuttle flight, and NASA's SpaceX demo flight.
08/04/2026 - 10:04:05 (-3 TMZ) | 06:14:29:05 (Artemis Clock) | Good morning, Houston. We are 202,306 nautical miles away. Earth is pulling us back and we are happy about that. We're ready for morning DPC.
08/04/2026 - 10:04:26 (-3 TMZ) | 06:14:29:26 (Artemis Clock) | The updated nominal burn plan and nominal RTC last are on board.
08/04/2026 - 10:04:52 (-3 TMZ) | 06:14:29:52 (Artemis Clock) | Jeremy Hansen, Reid and I are both members, and we're proud to welcome the two of them to this international body of human space explorers. And also congratulations to Jack Hathaway, who recently joined aboard the International Space Station. Thank you. Thank you for those words.
08/04/2026 - 10:04:58 (-3 TMZ) | 06:14:29:58 (Artemis Clock) | And welcome to the club.
08/04/2026 - 10:05:04 (-3 TMZ) | 06:14:30:04 (Artemis Clock) | Integrity, this is Houston. Are you ready for the event?
08/04/2026 - 10:05:15 (-3 TMZ) | 06:14:30:15 (Artemis Clock) | Integrity is ready for the event.
08/04/2026 - 10:05:20 (-3 TMZ) | 06:14:30:20 (Artemis Clock) | Station, this is Mission Control Houston. Please call Integrity for a voice check.
08/04/2026 - 10:05:26 (-3 TMZ) | 06:14:30:26 (Artemis Clock) | Integrity, this is the International Space Station. How do you hear?
08/04/2026 - 10:05:47 (-3 TMZ) | 06:14:30:47 (Artemis Clock) | Loud and clear. How about us?
08/04/2026 - 10:05:53 (-3 TMZ) | 06:14:30:53 (Artemis Clock) | We have you loud and clear as well, and we have DMTV up, so we have a view right now, and it is making us so excited. We feel like you're here with us, and this is really just making our entire week right now.
08/04/2026 - 10:06:19 (-3 TMZ) | 06:14:31:19 (Artemis Clock) | 25 nautical miles from planet Earth, which is just hard to believe. The scales are impossible to believe. And for the run of show this morning, I figured I'll say a quick hi, which I have done. I'll hand the microphone to fellow chump Jeremy. He can say a quick hi, and then we'll let you three apesbabes just get on with it.
08/04/2026 - 10:06:45 (-3 TMZ) | 06:14:31:45 (Artemis Clock) | But it's such a pleasure to be spending a little bit of time with our colleagues in space, and we talk so much up here, or we try to anyway, emphasize how important the work is that we're all doing in this program to do the types of things that get us ready.
08/04/2026 - 10:07:06 (-3 TMZ) | 06:14:32:06 (Artemis Clock) | We just appreciate you, and it's fun to be up in space with you at the same time!
08/04/2026 - 10:07:32 (-3 TMZ) | 06:14:32:32 (Artemis Clock) | how different that felt now from your new perspective around the moon.
08/04/2026 - 10:07:43 (-3 TMZ) | 06:14:32:43 (Artemis Clock) | Well, I'll start by saying we do miss the ISS. The views there are awesome, being able to see specific places, being able to see your home specifically. So y'all's views are absolutely incredible, and I miss them every day, almost. The thing that changed for me looking back at Earth...
08/04/2026 - 10:08:16 (-3 TMZ) | 06:14:33:16 (Artemis Clock) | like we are, how the same thing keeps every single person on planet Earth alive. We evolved on the same planet. We have some shared things about how we love and live that are just universal. And the specialness and preciousness of that really is emphasized when you notice how much else there is.
08/04/2026 - 10:08:22 (-3 TMZ) | 06:14:33:22 (Artemis Clock) | is around it.
08/04/2026 - 10:09:10 (-3 TMZ) | 06:14:34:10 (Artemis Clock) | I totally share all the same sentiments, and I'm so happy that we are back in space together, even if we are, you know, a few miles apart. We like to joke about that up here, too, because everyone's talking about the records and the distance, and we ran to the far end of the space station when you guys were on the other side, so that...
08/04/2026 - 10:09:15 (-3 TMZ) | 06:14:34:15 (Artemis Clock) | we could claim we were the furthest away from you in that moment.
08/04/2026 - 10:09:41 (-3 TMZ) | 06:14:34:41 (Artemis Clock) | We were doing the same shenanigans here when we got to the furthest point from the moon, I tried to get to the furthest point in the spacecraft and my crewmates were clawing me down, and I know that's a joke. We were busy doing science, but we had that same conversation, it was a lot of fun. I don't know how much longer.
08/04/2026 - 10:10:07 (-3 TMZ) | 06:14:35:07 (Artemis Clock) | our deepest appreciation to the seven members of the International Space Station, and it's been a true treat, and it takes the entire world to do amazing things like this, and to get to come together as this group of people and talk for just a minute at these distances, we are all off the planet Earth right now, and we're all going to go home to that planet, and that is a very special thing.
08/04/2026 - 10:10:11 (-3 TMZ) | 06:14:35:11 (Artemis Clock) | So thank you all for tuning in.
08/04/2026 - 10:10:30 (-3 TMZ) | 06:14:35:30 (Artemis Clock) | And we'll keep carrying the fire. Thanks, guys. Over and out.
08/04/2026 - 10:10:54 (-3 TMZ) | 06:14:35:54 (Artemis Clock) | We'll be reviewing what they saw yesterday during their lunar flyby, sharing any findings or interesting information with the science team while it's all still fresh for the crew members. Of course, they have quite a lot of audio recordings that have been downlinked to the science team, and that team has been reviewing and will continue to do so.
08/04/2026 - 10:11:00 (-3 TMZ) | 06:14:36:00 (Artemis Clock) | help them understand what the crew saw and formulate new thoughts about our moon.
