06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
07/04/2026 - 09:02:01 (-3 TMZ) | 05:13:27:01 (Artemis Clock) | We have continuous coverage while the crew is aboard their integrity spacecraft. Currently, Integrity is 28,900 and counting miles away from the moon and 240,295 miles away from Earth.
07/04/2026 - 09:02:27 (-3 TMZ) | 05:13:27:27 (Artemis Clock) | In just over three and a half hours from now, they completed flight day six, which included the historical lunar flyby. So for now, let's take a look back at our highlights for flight day six. This is Mission Control.
07/04/2026 - 09:02:53 (-3 TMZ) | 05:13:27:53 (Artemis Clock) | So what we are seeing out the window is, it's just like we're a bunch of little kids up here, just we cannot get enough of this. It's amazing. Thank you for the privilege.
07/04/2026 - 09:02:58 (-3 TMZ) | 05:13:27:58 (Artemis Clock) | Thank you for sharing that special perspective you have with all of us back here.
07/04/2026 - 09:03:24 (-3 TMZ) | 05:13:28:24 (Artemis Clock) | We receive confirmation that the Orion spacecraft and its crew have officially entered the lunar sphere of influence, that milestone taking place at a mission elapsed time of four days, six hours, two minutes, and 54 seconds into the Artemis II mission.
07/04/2026 - 09:03:43 (-3 TMZ) | 05:13:28:43 (Artemis Clock) | half the size of Earth.
07/04/2026 - 09:04:09 (-3 TMZ) | 05:13:29:09 (Artemis Clock) | On Apollo 8, we got humanity's first up-close look at the moon and got a view of a home planet that inspired and united people around the world. I'm proud to pass that torch on to you as you swing around the moon and lay the groundwork for missions to Mars, for the best.
07/04/2026 - 09:04:30 (-3 TMZ) | 05:13:29:30 (Artemis Clock) | to enjoy the view. So, Reid, Victor, Christina, and Jeremy, and all the great teams supporting you, good luck and Godspeed from all of us here on the good Earth.
07/04/2026 - 09:04:56 (-3 TMZ) | 05:13:29:56 (Artemis Clock) | Very cool to hear him. Welcome us to the neighborhood. It's gonna be a great day. Thank you.
07/04/2026 - 09:05:16 (-3 TMZ) | 05:13:30:16 (Artemis Clock) | Let's actually savor the calm delay that we have. We're ready for the morning DPC.
07/04/2026 - 11:00:36 (-3 TMZ) | 05:15:25:36 (Artemis Clock) | The closest lunar approach that took place on Flight Day 6, and the closest approach was 4,067 miles.
07/04/2026 - 11:02:41 (-3 TMZ) | 05:15:27:41 (Artemis Clock) | As we continue to watch the surveying activity take place from the solar arrays of the Integrity spacecraft, let's take a look at some of the photos we received from Flight Day 6 in the lunar flyby. Now, most of us are-- have been used to seeing the iconic
07/04/2026 - 11:02:58 (-3 TMZ) | 05:15:27:58 (Artemis Clock) | Apollo 8 Earthrise image. Now, you might think that this is the same image, but the reality is this is actually Earth set, as captured by the Artemis II crew. This is when the crew began to go to the far side of the moon and the Earth was setting.
07/04/2026 - 11:03:41 (-3 TMZ) | 05:15:28:41 (Artemis Clock) | So part of the world was already in darkness during this time, that's why you can see that little crescent of the moon. And the rest of the world was still in motion with daylight. And the clouds are there, half a world away, and the oceans are visible.
07/04/2026 - 11:04:09 (-3 TMZ) | 05:15:29:09 (Artemis Clock) | This is an absolutely stunning image, and for those of you watching us right now, I hope you are evoked with the emotions that I am as I look at this.
07/04/2026 - 11:04:36 (-3 TMZ) | 05:15:29:36 (Artemis Clock) | This was captured by the Artemis II crew during their lunar flyby. Once again, that lunar flyby took place on Flight Day 6, April 6, 2026. And this view shows the moon fully eclipsing the Earth, the sun, fully eclipsing the sun.
07/04/2026 - 11:04:53 (-3 TMZ) | 05:15:29:53 (Artemis Clock) | From their vantage point, the moon appears large enough to completely block the sun, creating nearly 54 minutes of totality -- far longer than what we can expect here on Earth. You also see the sun's corona that's forming a glowing halo around the moon.
07/04/2026 - 11:05:21 (-3 TMZ) | 05:15:30:21 (Artemis Clock) | With the moon in shadow, even distant stars become available. Take that in for a second. You can see these points of light that are usually washed out, but in an image like this, we see them very clearly. Along the edge...
07/04/2026 - 11:05:57 (-3 TMZ) | 05:15:30:57 (Artemis Clock) | As we come around the moon and this crew heads back home. We're going to leave you with this view and then transition to look back at flight day 6, the mission highlights from the lunar flyby.
07/04/2026 - 11:06:03 (-3 TMZ) | 05:15:31:03 (Artemis Clock) | This is Mission Control Houston.
07/04/2026 - 11:06:47 (-3 TMZ) | 05:15:31:47 (Artemis Clock) | Thank you for sharing that special perspective you have with all of us back here.
07/04/2026 - 11:07:11 (-3 TMZ) | 05:15:32:11 (Artemis Clock) | Taking place at a mission elapsed time of 4 days, 6 hours, 2 minutes, and 54 seconds into the Artemis II mission.
07/04/2026 - 11:07:16 (-3 TMZ) | 05:15:32:16 (Artemis Clock) | By reaching this milestone, it means that the gravitational forces of the moon are now greater on the Orion spacecraft than that of Earth.
07/04/2026 - 11:07:42 (-3 TMZ) | 05:15:32:42 (Artemis Clock) | Hello, Highland Park Zoo. This is Apollo astronaut Jim Lovell. Welcome to my old neighborhood. When Frank Borman and Bill Anders and I orbited the moon on Apollo 8, we got humanity's first up-close look at the moon and got a view of the home planet.
07/04/2026 - 11:08:13 (-3 TMZ) | 05:15:33:13 (Artemis Clock) | Please, but don't forget to enjoy the view. So, Reed, Victor, and Christina, and Jeremy, and all the great teams supporting you, good luck and Godspeed from all of us here on the good Earth.
07/04/2026 - 11:08:35 (-3 TMZ) | 05:15:33:35 (Artemis Clock) | my level and very cool to hear him welcome us to the neighborhood. It's gonna be a great day. Thank you.
07/04/2026 - 11:08:55 (-3 TMZ) | 05:15:33:55 (Artemis Clock) | from the moon. Let's actually savor the comm delay that we have. We're ready for the morning DPC.
07/04/2026 - 11:09:27 (-3 TMZ) | 05:15:34:27 (Artemis Clock) | We're looking forward to working with and for the science team, and we are just excited to be so close to finally accomplishing what we've been training for for so many years. And also, we want to say thank you for that really special message from Jim Lovell. We have a pretty neat emblem on our patch.
07/04/2026 - 11:10:01 (-3 TMZ) | 05:15:35:01 (Artemis Clock) | It's a great way to start the day, and he said to welcome us to the neighborhood, and it's great to be in this neighborhood, and we look forward to sharing this neighborhood with you all. We can't wait. We see the patch, and it's looking beautiful. Thank you.
07/04/2026 - 11:10:33 (-3 TMZ) | 05:15:35:33 (Artemis Clock) | but also just personally to myself. I had the photo up in my room as a kid, and it was part of what inspired me to keep working hard to achieve things I dreamed about. Also, we took a deep dive into the cockpit recordings around the time that picture was taken, and it turns out there was a lot of hubbub.
07/04/2026 - 11:10:44 (-3 TMZ) | 05:15:35:44 (Artemis Clock) | Kind of a, I wouldn't say fighting over cameras, but definitely everyone wanted to capture the shot, so we're happy to carry on that legacy because we often are all glued to windows and looking for cameras too.
07/04/2026 - 11:11:11 (-3 TMZ) | 05:15:36:11 (Artemis Clock) | before they launched, and they flew that with them on their journey around the moon, and then the family handed it over to us, as Ike said. And it's just a real honor to have that on board with us. Let's go have a great day.
07/04/2026 - 11:11:42 (-3 TMZ) | 05:15:36:42 (Artemis Clock) | Your HHP camera for the milestone words at the Apollo 13 record distance. You'll notice that we pause every time we hear communications to and from the crew. They are the stars for today. This afternoon, the crew will have their closest approach of the moon and will surpass the record, that record just mentioned.
07/04/2026 - 11:11:48 (-3 TMZ) | 05:15:36:48 (Artemis Clock) | of the furthest humans have ever flown, set by the Apollo 13 astronauts in 1970.
07/04/2026 - 11:11:54 (-3 TMZ) | 05:15:36:54 (Artemis Clock) | As you can see, the crew members have dimmed the cabin lights inside Orion.
07/04/2026 - 11:12:20 (-3 TMZ) | 05:15:37:20 (Artemis Clock) | Ahead of this lunar flyby, let's dive in and explain what you can expect over the next several hours. The crew has about six hours allotted to make observations about the moon. Throughout the flyby, their activities have been precisely timelined. There are five blocks of time.
07/04/2026 - 11:12:51 (-3 TMZ) | 05:15:37:51 (Artemis Clock) | shroud over the window. This can help prevent that glare or reflection from inside Orion. They have an 80-400 millimeter zoom lens to use. The other astronaut will be in window three, using their portable computing device, you'll hear that referred to as a PCD, to make annotations.
07/04/2026 - 11:13:22 (-3 TMZ) | 05:15:38:22 (Artemis Clock) | The two crew members at the windows will swap roles and positions halfway through their time-lined block. The other two crew members who won't be at the windows at that time will be serving in the background as support. One will be conducting the science SITREPs, or situation reports. This is what we will hear live from the crew.
07/04/2026 - 11:13:50 (-3 TMZ) | 05:15:38:50 (Artemis Clock) | Good morning, crew. This is science. We couldn't be more excited for a full day of lunar and planetary observations today, the first one in over 54 years. How do you hear me?
07/04/2026 - 11:14:00 (-3 TMZ) | 05:15:39:00 (Artemis Clock) | We hear you loud and clear, and Kelsey, you've just got to know you're pulling us away from the Moon right now, so let's go!
07/04/2026 - 11:14:32 (-3 TMZ) | 05:15:39:32 (Artemis Clock) | Absolutely a part for what you've already done in this mission and what you're going to do today to inspire the next generation of scientists. I have to say Moonjoy is the new term that's already become our team's new motto, so thanks for that. A reminder also that your observations so far indicate it will likely take some time for your eyes to adjust.
07/04/2026 - 11:14:57 (-3 TMZ) | 05:15:39:57 (Artemis Clock) | Know that your eye adaptation is going to kind of come in throughout your shift, and let us know when you start to see that nuance. Last reminder is around Earthset and Earthrise, when you're viewing us back here at home, you'll be looking directly at Asia, Africa, and Oceania. So I'm sure people watching...
07/04/2026 - 11:15:03 (-3 TMZ) | 05:15:40:03 (Artemis Clock) | from those places here on Earth will want to give you all a wave as you take their picture.
07/04/2026 - 11:15:19 (-3 TMZ) | 05:15:40:19 (Artemis Clock) | And we're live in Artemis Mission Control in Houston, but we are not the only room monitoring today's flyby. As you heard Young mention, in this same building and just down the hall, a multidisciplinary lunar science team supports the Artemis 2 crew in real time, including experts in lunar geology, impact cratering, volcanism, polar science.
07/04/2026 - 11:15:56 (-3 TMZ) | 05:15:40:56 (Artemis Clock) | Integrity crew, we have Reed's family in the viewing gallery. You're welcome to say hello.
07/04/2026 - 11:16:21 (-3 TMZ) | 05:15:41:21 (Artemis Clock) | Whether you're being serious or you're kidding around, that is awesome to hear. Thanks, Jenny. And hello to Ellie and Katie. I don't know who else is there, but it's great to know that you're in Mission Control right now following along. We are having a blast up here, and the view of the moon is absolutely amazing.
